iter	Passed	Remaining
689	45872	20609
690	45932	20540
691	45993	20471
692	46051	20400
693	46113	20332
694	46176	20264
695	46234	20194
696	46292	20124
697	46350	20054
698	46406	19983
699	46475	19918
700	46547	19854
701	46622	19791
702	46681	19721
703	46753	19657
704	46817	19590
705	46885	19524
706	46951	19457
707	47017	19391
708	47079	19323
709	47141	19255
710	47206	19188
711	47271	19120
712	47346	19058
713	47412	18991
714	47479	18925
715	47547	18859
716	47617	18794
717	47676	18725
718	47738	18657
719	47799	18588
720	47862	18521
721	47924	18453
722	47991	18386
723	48054	18319
724	48120	18252
725	48181	18184
726	48239	18114
727	48308	18049
728	48371	17981
729	48437	17915
730	48502	17848
731	48572	17783
732	48636	17716
733	48695	17647
734	48755	17578
735	48819	17511
736	48876	17441
737	48934	17372
738	48995	17304
739	49060	17237
740	49121	17169
741	49180	17100
742	49243	17033
743	49310	16967
744	49374	16900
745	49438	16832
746	49500	16765
747	49566	16698
748	49633	16632
749	49695	16565
750	49765	16500
751	49822	16430
752	49883	16362
753	49944	16294
754	50003	16226
755	50073	16161
756	50142	16095
757	50208	16029
758	50269	15961
759	50330	15893
760	50391	15826
761	50455	15759
762	50514	15690
763	50586	15626
764	50654	15560
765	50718	15493
766	50780	15426
767	50843	15359
768	50902	15290
769	50965	15223
770	51027	15156
771	51092	15089
772	51155	15022
773	51214	14953
774	51279	14887
775	51343	14820
776	51408	14754
777	51473	14687
778	51540	14621
779	51608	14556
780	51673	14489
781	51732	14421
782	51801	14356
783	51865	14289
784	51937	14225
785	52000	14157
786	52064	14091
787	52129	14024
788	52194	13958
789	52259	13891
790	52321	13824
791	52386	13757
792	52444	13689
793	52512	13624
794	52580	13558
795	52645	13491
796	52706	13424
797	52767	13357
798	52834	13291
799	52898	13224
800	52959	13157
801	53026	13091
802	53090	13024
803	53150	12957
804	53211	12889
805	53274	12822
806	53337	12755
807	53397	12688
808	53460	12621
809	53525	12555
810	53596	12490
811	53658	12423
812	53719	12356
813	53782	12289
814	53843	12222
815	53906	12155
816	53966	12087
817	54031	12021
818	54091	11954
819	54151	11886
820	54210	11819
821	54271	11752
822	54341	11687
823	54407	11620
824	54472	11554
825	54547	11490
826	54611	11424
827	54670	11356
828	54737	11290
829	54814	11227
830	54875	11159
831	54937	11093
832	54998	11026
833	55061	10959
834	55121	10892
835	55190	10826
836	55257	10760
837	55323	10695
838	55383	10627
839	55443	10560
840	55502	10493
841	55567	10427
842	55629	10360
843	55681	10291
844	55744	10225
845	55806	10158
846	55867	10091
847	55931	10025
848	55992	9958
849	56053	9891
850	56112	9824
851	56172	9757
852	56232	9690
853	56288	9623
854	56348	9556
855	56413	9490
856	56482	9424
857	56552	9359
858	56614	9293
859	56681	9227
860	56746	9161
861	56814	9095
862	56883	9030
863	56949	8964
864	57013	8898
865	57092	8834
866	57162	8768
867	57227	8702
868	57296	8637
869	57357	8570
870	57419	8504
871	57499	8440
872	57560	8373
873	57625	8307
874	57686	8240
875	57742	8173
876	57809	8107
877	57871	8041
878	57943	7976
879	58012	7910
880	58086	7845
881	58153	7780
882	58221	7714
883	58285	7648
884	58346	7581
885	58411	7515
886	58484	7450
887	58551	7384
888	58614	7318
889	58676	7252
890	58737	7185
891	58800	7119
892	58857	7052
893	58918	6985
894	58976	6919
895	59037	6852
896	59112	6787
897	59177	6721
898	59247	6656
899	59308	6589
900	59372	6523
901	59438	6457
902	59510	6392
903	59576	6326
904	59639	6260
905	59697	6193
906	59759	6127
907	59818	6060
908	59884	5995
909	59942	5928
910	60002	5861
911	60071	5796
912	60140	5730
913	60205	5664
914	60265	5598
915	60335	5532
916	60392	5466
917	60462	5400
918	60522	5334
919	60585	5268
920	60647	5202
921	60709	5135
922	60771	5069
923	60834	5003
924	60896	4937
925	60969	4872
926	61046	4807
927	61116	4741
928	61173	4675
929	61233	4608
930	61295	4542
931	61358	4476
932	61422	4410
933	61491	4345
934	61548	4278
935	61607	4212
936	61667	4146
937	61728	4080
938	61801	4014
939	61873	3949
940	61933	3883
941	61996	3817
942	62060	3751
