YEAR,SEASONCODE,SEASONNAME,HSEASONNAME,SAMPLE,SAMPLENAME,HSAMPLENAME,STATE,STATENAME,SHORTSTATE,HSTATENAME,ROCODE,RONAME,HRONAME,SROCODE,SRONAME,HSRONAME,DISTRICT,DISTRICTNAME,HDISTRICTNAME,SELORDER,EXPT,CROPCODE,CROPNAME,HCROPNAME
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,3,JASHPUR,जशपुर,2,1,111,PADDY_UI,धान-असिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2211,AMBIKAPUR,अंबिकापुर,3,JASHPUR,जशपुर,2,2,111,PADDY_UI,धान-असिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2210,RAIPUR,रायपुर,14,KANKER,कांकेर,1,1,111,PADDY_UI,धान-असिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2210,RAIPUR,रायपुर,14,KANKER,कांकेर,1,2,111,PADDY_UI,धान-असिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2210,RAIPUR,रायपुर,14,KANKER,कांकेर,2,1,111,PADDY_UI,धान-असिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2210,RAIPUR,रायपुर,14,KANKER,कांकेर,2,2,111,PADDY_UI,धान-असिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2212,BILASPUR,बिलासपुर ,25,MUNGELI,मुंगेली ,1,1,135,PADDY_ HY_IR,धान-उ.ऊ./सिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2212,BILASPUR,बिलासपुर ,25,MUNGELI,मुंगेली ,1,2,135,PADDY_ HY_IR,धान-उ.ऊ./सिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2212,BILASPUR,बिलासपुर ,25,MUNGELI,मुंगेली ,2,1,135,PADDY_ HY_IR,धान-उ.ऊ./सिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2212,BILASPUR,बिलासपुर ,25,MUNGELI,मुंगेली ,2,2,135,PADDY_ HY_IR,धान-उ.ऊ./सिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2210,RAIPUR,रायपुर ,12,MAHASAMUND,महासमुंद ,1,1,111,PADDY_UI,धान-असिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2210,RAIPUR,रायपुर ,12,MAHASAMUND,महासमुंद ,1,2,111,PADDY_UI,धान-असिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2210,RAIPUR,रायपुर ,12,MAHASAMUND,महासमुंद ,2,1,111,PADDY_UI,धान-असिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2210,RAIPUR,रायपुर ,12,MAHASAMUND,महासमुंद ,2,2,111,PADDY_UI,धान-असिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2210,RAIPUR,रायपुर,12,MAHASAMUND,महासमुंद,1,1,135,PADDY_ HY_IR,धान-उ.ऊ./सिंचित
2025-26,1,KHARIF,खरीफ,1,CENTRAL,केन्द्रीय,22,CHATTISGARH,CG,छत्तीसगढ़,221,RAIPUR,रायपुर,2210,RAIPUR,रायपुर,12,MAHASAMUND,महासमुंद,1,2,135,PADDY_ HY_IR,धान-उ.ऊ./सिंचित
